,Species,Saipan Observations,Tinian Observations,Rota Observations,Saipan Density,Saipan SE,Tinian Density,Tinian SE,Rota Density,Rota SE
1,Micronesian starling,41,65,102,3.315,0.620,6.094,0.840,7.272,0.486
2,Golden white-eye,246,NA,NA,8.527,0.314,NA,NA,NA,NA
3,Mariana crow,NA,NA,2,NA,NA,NA,NA,NA,NA
4,Black drongo,NA,NA,85,NA,NA,NA,NA,6.978,0.642
5,Feral chicken,8,7,14,3.446,2.706,4.024,3.095,5.708,3.403
6,White-throated ground dove,33,28,9,4.203,2.142,5.913,2.472,1.996,1.126
7,White tern,9,NA,14,NA,NA,NA,NA,NA,NA
8,Micronesian megapode,9,NA,NA,NA,NA,NA,NA,NA,NA
9,Tinian monarch,NA,164,NA,NA,NA,7.899,0.316,NA,NA
10,Micronesian honeyeater,43,20,13,4.912,1.821,2.884,1.152,1.733,0.764
11,Marianas fruit dove,156,106,127,1.986,0.249,1.570,0.214,1.689,0.224
12,Rufous fantail,180,125,153,7.713,0.345,7.539,0.381,7.611,0.364
13,Island collared dove,12,19,1,2.193,1.420,5.855,2.837,0.313,0.354
14,Collared kingfisher,66,39,52,2.140,0.369,1.381,0.281,1.693,0.317
15,Bridled white-eye,352,341,NA,9.546,0.320,9.627,0.313,NA,NA