,spp,Predicted,SE,lower,upper,island
1,apop,7.271759606,0.486213603,6.378600423,8.289982796,Rota
2,apop,3.314869286,0.620126476,2.297357441,4.783042548,Saipan
3,apop,6.09438967,0.839850757,4.651880186,7.984209386,Tinian
4,clma,8.526765637,0.314116604,7.932809113,9.165193716,Saipan
5,coku,0,0,0,0,Rota
6,dima,6.978274624,0.642184622,5.826599257,8.357588119,Rota
7,gaga,5.708420421,3.402644246,1.774746619,18.36096677,Rota
8,gaga,3.446063742,2.705883719,0.739522412,16.05814119,Saipan
9,gaga,4.024480266,3.094876785,0.891507357,18.16747926,Tinian
10,gaxa,1.996243527,1.12589347,0.660892285,6.02970909,Rota
11,gaxa,4.202901699,2.142398886,1.54758807,11.41413728,Saipan
12,gaxa,5.913180545,2.472174658,2.605865104,13.41807913,Tinian
13,gyal,5.696175163,4.613116138,1.16473601,27.85730949,Rota
14,gyal,3.140089928,2.973556175,0.49077651,20.09094679,Saipan
15,mela,0,0,0,0,Saipan
16,mota,7.898575446,0.316056112,7.302785109,8.542972734,Tinian
17,myru,1.733322652,0.763895287,0.730710038,4.111627401,Rota
18,myru,4.912076157,1.820995486,2.375249755,10.15829688,Saipan
19,myru,2.88422774,1.152165731,1.318254014,6.310445158,Tinian
20,ptro,1.688694903,0.224083454,1.301966931,2.190294091,Rota
21,ptro,1.98575199,0.248788806,1.553390207,2.538454888,Saipan
22,ptro,1.569938138,0.214034715,1.201809122,2.050829632,Tinian
23,rhru,7.610529214,0.364260756,6.929055214,8.359026321,Rota
24,rhru,7.713270881,0.344866002,7.066115595,8.41969635,Saipan
25,rhru,7.538586834,0.380934723,6.827749931,8.323428953,Tinian
26,stbi,0.313224012,0.353937966,0.034198838,2.86878994,Rota
27,stbi,2.192602845,1.420474532,0.615900142,7.805660219,Saipan
28,stbi,5.85527351,2.836807596,2.26542958,15.1336542,Tinian
29,toch,1.692697613,0.316849968,1.172859612,2.442939616,Rota
30,toch,2.139866839,0.368575196,1.526771316,2.999159102,Saipan
31,toch,1.381350057,0.280816849,0.927388348,2.057528526,Tinian
32,zoco,9.546174781,0.320169679,8.938834292,10.19478044,Saipan
33,zoco,9.626836758,0.312504841,9.033416587,10.25923969,Tinian